ID,dish_name,ingredients,nutrients
1,Caesar Salad,"Lettuce, croutons, parmesan cheese, Caesar dressing","Fiber, vitamins A & K, fats, protein"
2,Garlic Bread,"Bread, garlic, butter, herbs","Carbohydrates, fats, small protein"
3,Bruschetta,"Toasted bread, tomatoes, garlic, basil, olive oil","Carbohydrates, vitamins A & C, healthy fats"
4,Grilled Salmon,"Salmon, lemon, garlic, olive oil, herbs","Protein, omega-3 fats, vitamin D"
5,Ribeye Steak,"Beef ribeye, salt, pepper, butter","Protein, iron, fats, B-vitamins"
6,Chicken Parmesan,"Chicken breast, cheese, tomato sauce, breadcrumbs","Protein, fats, calcium"
7,Vegetable Pasta,"Pasta, mixed vegetables, olive oil, herbs","Carbohydrates, fiber, vitamins"
8,Lobster Risotto,"Rice, lobster, butter, stock, parmesan","Carbohydrates, protein, fats"
9,Chocolate Lava Cake,"Chocolate, flour, butter, sugar, eggs","Carbohydrates, fats, sugar"
10,Tiramisu,"Ladyfingers, coffee, mascarpone, cocoa","Carbohydrates, fats, sugar"
11,Cheesecake,"Cream cheese, sugar, eggs, biscuit crust","Fats, sugar, protein"
12,Fresh Lemonade,"Lemon, water, sugar","Vitamin C, carbohydrates"
13,Iced Coffee,"Coffee, ice, milk, sugar","Caffeine, small carbs & fats"
14,Mojito,"Mint, lime, soda, sugar","Vitamins, carbohydrates"
15,Samosa,"Potatoes, peas, spices, flour pastry","Carbohydrates, fats, fiber, protein"
16,Pizza,"Pizza dough, cheese, corn, tomato sauce, oregano","Carbohydrates, fats, calcium, protein"
17,Monster Energy Drink,"Carbonated water, sugar, caffeine, taurine, B-vitamins","Carbohydrates, caffeine, B-vitamins"
18,Chicken Masala,"Chicken, onions, tomatoes, garlic, ginger, masala spices","Protein, fats, iron, vitamin B6"
19,Egg Masala Thali,"Eggs, onions, tomatoes, masala spices, rice, roti","Protein, carbohydrates, fats, vitamins A & B12"
20,Paneer Masala,"Paneer, tomatoes, onions, cream, spices","Protein, fats, calcium"
